region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00,,,0.16261895325886583,0.15045751471365806,0.1348953861875274,0.11077266820874704,0.10284722347881246,0.10368753154200326,0.10387284858943605,0.10295414101711242,0.10472866525209211,0.10479954245071069,0.1073085674012616,0.10605642212185111,0.1064825841373822,0.11496460649714298,0.11084283716802745,0.12035966904541862
01,,,0.12842998771282363,0.12071771303446698,0.10807132279299098,0.08310362031670512,0.07486436351209284,0.07650294006587068,0.07380598195191608,0.07139315074296224,0.06979179024119885,0.07156430905124314,0.07278951814451852,0.07186145851003131,0.0727051016250739,0.07926049183651716,0.07760261952180063,0.0910082470255197
02,,,,,,,,,,,,,,,,0.1318118070188087,0.1361502026532886,0.1306147234934173
04,,,0.1977881093193325,0.18133594818897086,0.1521803737904084,0.11023249933682167,0.09911473062139119,0.09918572499692532,0.0950616309288184,0.09075545333638038,0.09180184912353281,0.09106424821181108,0.09291802422252535,0.0939480241668722,0.09699023624050399,0.10191360073673963,0.10492233727454989,0.11036999617727164
05,,,0.13980094904996124,0.1323995901849944,0.12205781686061819,0.09691938297210628,0.08871726910985511,0.08819410506084265,0.08712309146190303,0.08603858051246475,0.08474690815705886,0.08546225102716459,0.08831288145792142,0.0858886430999111,0.08935993696159555,0.09678599397355181,0.09294838233364393,0.10364551057540582
06,,,0.18188038314117,0.16739030529852947,0.15079870625109948,0.12505075559762222,0.11264506383161664,0.11264083856210086,0.11735365047300535,0.1174503541613964,0.1238787900520708,0.12278424328208959,0.12895046500922644,0.12638152560475666,0.12609729482302132,0.14057467732925497,0.13351564653803458,0.14248346083849964
08,,,0.24700510893182218,0.2300853122696843,0.2078117050676663,0.1669008309252249,0.1599494790530138,0.1493853506068235,0.14237153366029384,0.143992071866237,0.14775001494581078,0.15687554309722376,0.15878918795154243,0.15328886854906337,0.1524265019685899,0.163407679141818,0.1506754259962603,0.14911189745922623
09,,,0.122071676975702,0.11525362051025456,0.10211863565873891,0.08370988208131874,0.07861178328865095,0.08124915831124686,0.081933336919078,0.08109505870976232,0.07891865036589935,0.07692256332131876,0.07931149261162569,0.0732782749478011,0.07653995735590968,0.0830178747424066,0.08195693642615588,0.08366586955433868
10,,,0.17842986452109094,0.15920527704976795,,,,0.12572352163700695,,,,0.13748180939787902,0.14448840480551436,0.1501705621437401,0.15258830525604006,0.16696375581447137,0.16954826836892717,0.19466786379127066
11,,,,,,,,,,,,,,,,0.12358402216815123,0.12327328837872956,0.11714102938205652
12,,,0.24899621892969848,0.21183476184001862,0.17827352826750145,0.14575244483749794,0.14436559235248364,0.1455198649950914,0.14656302233578472,0.14220257602127329,0.14773641625405506,0.15040377839042007,0.15255547492058258,0.14903841792435116,0.14804222917108803,0.15811287319804163,0.14834896246285165,0.1687179570237615
13,,,0.1800374235849249,0.1709296596599341,0.14838521717888836,0.1150676555099332,0.10374347536588778,0.10371832191930688,0.10129120011148254,0.09982396482124299,0.09983475522986814,0.10405990576598759,0.1045935593121426,0.10389355739577884,0.10522240889577947,0.11570591214209014,0.11667614636809705,0.1514656792795007
15,,,,,,,,,0.07431149493703099,,0.07427695362235069,,0.07622787352361235,,,0.08454215950662856,0.07917382362247435,0.07896199447621403
16,,,0.28475586403135045,0.26922335802008485,0.212410429837121,0.1490562594504406,0.12274524764239704,0.118988047717454,0.12172408785852731,0.11665341961883606,0.1285993224950751,0.12935960252882697,0.14003133746280416,0.1515115491149443,0.15939780464163145,0.18605729902155682,0.17542730678514773,0.17132726079457533
17,,,0.14349832825835376,0.13464141560136839,0.12511159144244277,0.11013538988430095,0.10338539904341545,0.10452082757194169,0.10357138249726791,0.10321746305650063,0.10207730376330473,0.10150962090630963,0.1023492421171214,0.09906769043113439,0.0975598075191246,0.10612217757803913,0.1016112838083808,0.12122314703520072
18,,,0.12282961722774573,0.1154805343528929,0.10453635095246583,0.08222816377646266,0.07536391186385574,0.07551115241635688,0.07651313705703405,0.07680067448766027,0.0742002276549455,0.07143242795637739,0.07531298697328953,0.07453683159529621,0.07550226957389204,0.07945638688210899,0.0796765524116194,0.0888385159748706
19,,,0.1363826188566259,0.11838489608548657,,0.09450617787315686,0.08556251998931705,0.08673291278032087,0.0836829362470388,0.08318731937884201,0.08050444277831502,0.07754032193223664,0.08417281861991183,0.08392490062659455,0.08957361811844472,0.09512109757360214,0.08459400266872051,0.08613710941562373
20,,,0.1525516892695477,0.13521872243642713,0.12443489709154981,0.10548147557259846,,0.09537504504599065,0.09685542263154685,0.09188089657177853,0.09397859541575246,0.09208836483679397,0.09700891471362603,0.09193209941858788,0.08808004076022495,0.09638110586842777,0.09209443266328311,0.09235346908938656
21,,,0.11468553403485082,0.10580106981377448,0.09570857233068462,0.07946612933980873,0.07646382711994282,0.07715870153519369,0.07554085167332941,0.07564382745911974,0.07898454795252027,0.07033879740817955,0.07336234990881108,0.07135804705620455,0.0707729184316847,0.07601173956598216,0.0749607234011979,0.07582777914394347
22,,,0.11858075421467508,0.13196472418838093,0.11264789750206887,0.09423783013112585,0.08424524806930551,0.08478320759981446,0.0872667668351318,0.08215655300662555,0.08000818245844386,0.08059839625771935,0.08045657660160682,0.07599182152716841,0.08069696139220993,0.08223723037369439,0.07558949697491435,0.09740990821295764
23,,,,,,,,,,,,,,0.11409754401093053,,0.12882199936223776,0.12312046016550961,0.12169099375546702
24,,,0.14666387954035304,0.1331173175661015,0.11511640412296441,0.09231367299534826,0.08531708498621733,0.08343921591322322,0.08367270784987342,0.08455931314328269,0.08959702106365694,0.08589486180193219,0.08761082083854449,0.0844532269877866,0.08522763114995216,0.09157026688416883,0.09018009553929418,0.10097754186811259
25,,,0.14426958641573315,0.1286098590907701,0.11679905292013959,0.10086618157118439,0.0961855206806541,0.09947752975911726,0.09704270740988659,0.10201102955798472,0.10158915528319465,0.10034608011479616,0.10698787264719406,0.10503241100602496,0.10739397377965999,0.11531920550777426,0.10874133823373018,0.10747690530340286
26,,,0.12303085710601697,0.11183648278645818,0.10012714367475216,0.0838352574357671,0.07861362886025085,0.08057698752013412,0.07969714276231349,0.07705252373285428,0.07873447818611096,0.0788229588207191,0.0781939473696134,0.07683981150428452,0.07819022223149158,0.08367327479208884,0.07979487440342843,0.09218832384911337
27,,,0.17026727489150517,0.14428044244711252,0.13181740754105417,0.10842348930382933,0.10683171996986292,0.09715999087147992,0.09305774275024069,0.09528250248342693,0.09579791479748975,0.09515547288894548,0.09916031135899972,0.09529683070589548,0.09469605100759401,0.10067337358722382,0.09731131392970321,0.10434228653668101
28,,,0.11407656653967405,,0.10261751498284016,0.0781259010938983,0.07053597199380554,0.07382476229975075,0.06996267873802636,0.07014507596983191,,0.07112599098201351,0.0717758345321069,0.0699479038721687,0.06772605746676437,0.07202232792802464,0.07375302782219573,0.09768146404897421
29,,,0.16107973680120202,0.15415807475442878,0.1244817083734458,0.10405279210576247,0.09877391509737819,0.09801576858071766,0.0989305813793878,0.10205221561037035,0.10493790884026147,0.10808754397558074,0.10990274274292738,0.10748899112636734,0.09586239308821337,0.10645869567596697,0.10294214449440384,0.10972847810014649
30,,,0.27943776313634056,0.26335898695486054,,,,,,,,,0.16225527062762318,0.154679932632566,0.1567722773406101,0.17819009772171232,0.16401909470441944,0.16574478264852946
31,,,0.1542438051271163,,0.13030996276858206,,,,0.10615688183446047,,0.10314810813824633,0.10509114728138513,0.1118292032314674,0.11004315664855878,0.10595282646127477,0.11357416387708025,0.10954255772308635,0.10668100778714584
32,,,0.23950072014680057,0.21116615886893902,0.1822710021098993,0.1454234388366125,0.13115230391873847,0.13702609342419067,0.13598846918049345,0.1390672581155366,0.1445260575582589,0.14015334884519887,0.14203301849115033,0.13055416455445865,0.13539153609290533,0.14411987285211675,0.13294781173421089,0.14925473009079238
33,,,0.16072490242527485,,,,,,,,,,,,0.09734672709627243,0.10484201660183308,0.0995064392359847,0.09456368593438363
34,,,0.16890943037970294,0.15652854371536973,0.1388702431525654,0.11542757565356344,0.11117453717060231,0.11482541059971275,0.11486028107692728,0.11414433243315786,0.11741032939925744,0.11186160566979055,0.11238224306432074,0.11097048786995846,0.11052807796950659,0.11748785311767634,0.11476899278218548,0.1204408147329131
35,,,0.14599378763053272,0.14417953486428317,0.12240775450109795,0.09842529475366818,0.08159850589306178,0.08277824922791967,,0.07967196040452085,0.07393872596931662,0.07815012481048715,,,0.08112692323872828,0.08343125116772691,0.08174247876197821,0.08127923643094898
36,,,0.1669192023461514,0.1603433219934999,0.15176924301189582,0.1366510732944016,0.1361884814606217,0.1405215022486224,0.1382771770449937,0.13773102568383724,0.14040650419346848,0.13184537883957237,0.13616613988759715,0.1313474142162031,0.1304673731513889,0.13622387022127763,0.13289597724550276,0.13110768827233663
37,,,0.16124461498468712,0.1486890045944555,0.13234208196347524,0.10351847891319885,0.09616314654027497,0.09370897555889852,0.08990854034836013,0.08869194611074482,0.0913105069257008,0.0937894491299458,0.09887709354975247,0.10259199896639891,0.10495476680359708,0.10903891157589643,0.10923825552884586,0.12197166201152496
38,,,,,,,,,,,,,,,,0.12320599409033348,0.11586983736231436,0.10583960204309632
39,,,0.10632172878363336,0.09719356308431872,0.08767469289075888,0.07265059432198177,0.06768210937109677,0.06809750578369501,0.06811805593632313,0.06716643621227711,0.06437076454708447,0.06384720797745352,0.06400673740633442,0.06480797842942936,0.06343243579352725,0.06899421659576403,0.06892746233670685,0.08251792470797387
40,,,0.15222917677042505,0.14248391108736844,0.13358651026635032,0.11831639127647606,0.09802096637267552,0.09907062445610892,0.10342154256477505,0.10110468852371443,0.09986468439074497,0.09844806348946042,0.0946668371914567,0.09349695682814312,0.09172501014927317,0.105526700818606,0.10682413391455232,0.10651170887737411
41,,,0.20823635102604285,0.19537533612485064,0.17440281408557934,0.1348989107257901,0.11933518878327995,0.1194791075731513,0.1183098504249444,0.11664526374832937,0.12125019248085643,0.12469582998170185,0.1336224585337089,0.13423061651217513,0.13406135931702312,0.14469547950374542,0.1302831352452749,0.1225507820687317
42,,,0.11577519339372963,0.10464551093378534,0.0996343741615387,0.0821738487514356,0.07497518326960009,0.07603554671642872,0.07619755974804279,0.07755078319163339,0.07585915462752192,0.0755924569565978,0.07742772564914063,0.07673125480401571,0.07702749866062084,0.08378302750380012,0.08354951718830567,0.09374764829049004
44,,,,,,,,,,,,0.10360476392508636,,,,0.11792642260558808,0.1082728172926887,0.10925860234125577
45,,,0.15772279662306946,0.14380954631954723,0.12537943480246888,0.09785833328181345,0.08512219948617303,0.08341874028857663,0.08257716084395657,0.08345780282760208,0.0868373327064197,0.09136297512841504,0.09168145630627371,0.09011756429246821,0.09756499752652119,0.10210150908036653,0.09920923943338084,0.11536898912235245
46,,,,,,,,,,,,,,,,0.12939599270739208,0.11982017930072492,0.12120302402665122
47,,,0.12728972533561272,0.12179807862545547,0.11078857598465736,0.08475510895633406,0.0820327372943215,0.0821517625179948,0.07911813980642543,0.07683728500202514,0.07752904837135105,0.07773775637980848,0.07937892665490345,0.08099596600065302,0.08125150269072005,0.08820622387723136,0.08630619164191745,0.09635777484980762
48,,,0.14056908903336768,0.13585004524910121,0.12807578790233276,0.1065282753464668,0.10003725138710917,0.10394196237686827,0.10699679075915822,0.10418455325984827,0.10638110659462409,0.10790921473933733,0.10751343208037145,0.10899030285791461,0.1101668112550107,0.11885290079530775,0.11471629366943534,0.1279973722750151
49,,,0.25670143738970974,0.2572552758713399,0.2237324203367073,0.1649625295105686,0.14672722285684073,0.14434309120494412,0.1449340246391395,0.13780172602619706,0.14018304551290015,0.14426879690991695,0.14960586350351376,0.1548719405312788,0.1637191627846382,0.172028349003504,0.16765659437834182,0.16711391408726295
50,,,,,,,,,,,,,,,,0.10490776125235841,0.10737368767718661,0.10555918292700535
51,,,0.1685604198437266,0.15039631990982216,0.13237001677202942,0.1045637860796763,0.09634192146619383,0.09566659965684157,0.09409769347704124,0.09501434317074482,0.09383906092110843,0.09589708474065614,0.09540998788778694,0.09319739846322983,0.09468798512970919,0.09804399005044649,0.09619801678140485,0.10284541304219526
53,,,0.2110812881903631,0.19774742483345378,0.18133316165208332,0.14188772080714623,0.12087123276658789,0.12411702504734659,0.12339915451657166,0.12002218917109295,0.12263093616657703,0.12862429133671313,0.13350722961749845,0.13756429091468395,0.13867032215322384,0.15025514133752196,0.13904331945307702,0.13246053999083915
54,,,,,,,,,,,,,,,,0.060023577128079666,0.055017808248988505,0.0569815893997435
55,,,0.127691814489505,0.11822172579695231,0.10383592284488327,0.0854990856224681,0.07722342794408586,0.07556486936503543,0.07468509915713283,0.07414387513199393,0.07525161441470211,0.07585814197104246,0.07653264918572317,0.07634304514339049,0.07391817810343226,0.08051787665611806,0.07749336445891873,0.08421550734613996
56,,,,,,,,,,,,0.19792938058232093,,,,0.25138460632859017,0.25381894709196745,0.3017199928562597
