region,demographic-type,demographic,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00,,,0.09103964195467942,0.08221134458265532,0.07486418781158459,0.06389257838733267,0.0629706402370695,0.06456010032297561,0.06343330489919762,0.06433684840219837,0.06511595479547078,0.06613112013091943,0.06564732281418911,0.065053724643992,0.06700091140465989,0.06975170987507555
01,,,0.08013904034896402,0.07374309206092465,0.0645684531923014,0.05294952304688049,0.05166078247712371,0.052601536772777166,0.052310272289971906,0.05032906899356652,0.0493543801457087,0.053231544619033504,0.051732237228420436,0.051326007326007325,0.05260842790534002,0.05690926344988685
02,,,,,,,,,,,,,,,,0.06983359408334519
04,,,0.1250858307892207,0.1083189264839055,0.09093080990121635,0.0721489186969614,0.07142372728094765,0.07240485515603412,0.06911087818438683,0.06749901135529066,0.06800903358526005,0.06877776185699958,0.06836904581720686,0.0706452950999266,0.07269815349830423,0.07620523949775229
05,,,0.08195111761019427,0.07503643556110765,0.06951116729877792,0.05867593128739625,0.05479333289984178,0.0573540992212792,0.05505049398672479,0.05592054668102217,0.05512365934767767,0.05630541220060871,0.05935543197442746,0.05470593375862973,0.060000435891288714,0.0628629847954234
06,,,0.10356351536191077,0.09321711273534908,0.08374432181714615,0.07268374533406306,0.06828294228723981,0.07130244555566487,0.0709882886423013,0.07343112209592938,0.07853239057368268,0.07643604735321699,0.07684086317779411,0.07500785638228089,0.07693927651688368,0.08102654877752279
08,,,0.10195718543287054,0.0940890919474586,0.0871171461285244,0.0723387823400695,0.07402065910602074,0.07004987460903378,0.06724792496371013,0.06971623592876999,0.07108774330626429,0.07655088382277632,0.07326585729940549,0.07227721933828449,0.07297425367240562,0.07476428084077962
09,,,0.06109014433464896,0.056616911092736845,0.051204156210099945,0.04332865486485263,0.043697375699096555,0.044513989443691906,0.04672012905427415,0.04444409850867088,0.044204414197858456,0.04310709418712113,0.04356177965051431,0.0416280640045224,0.044291992033132055,0.046941430293800365
10,,,0.08199847444698703,0.07274431943525259,,,,0.06591922986616576,,,,0.07691862818807473,0.07623723266181366,0.08119034250421112,0.08225012445378616,0.08909870313093494
11,,,,,,,,,,,,,,,,0.05089133376478202
12,,,0.1170823934176147,0.09820003701309674,0.08703821744311725,0.0768122761085244,0.07891971202412802,0.08001745099852071,0.07773964110194329,0.07710011826190998,0.0790915207330593,0.08174028915983743,0.0791514474009177,0.07873673332088417,0.0803807589029799,0.08105895331522733
13,,,0.10238371130607515,0.09530667464681604,0.08264123535541731,0.06986267100290985,0.06712673365887781,0.06847076532930112,0.06603435813252809,0.06598794122183993,0.06738390339911697,0.07004832501688425,0.06840690435766836,0.06780821483589981,0.07044853065386998,0.07547881350693028
15,,,,,,,,0.04395315173049085,0.044279791832054334,,,,,,,0.05123233367804205
16,,,0.12267471091000502,0.10614095107765995,0.08645382447782006,0.06662569145666872,0.05843523088045768,0.061566261172598495,0.06020142218218089,0.06202887440909672,0.06509171588387863,0.06674246381710353,0.07092582566323768,0.07516726863639055,0.08190160372773791,0.0915701291160939
17,,,0.07882616652219215,0.07203911468110184,0.06971965748652963,0.06045079654566877,0.061251463486023706,0.060649796337278294,0.060374157416106466,0.06146600156083847,0.059318167300865976,0.06129738501357581,0.05816281088764636,0.05653700702323069,0.05711298673792647,0.05979635719706552
18,,,0.07283066633919631,0.06720447903761219,0.06206049675259265,0.049306062819576335,0.04902590881703153,0.05028789617458593,0.050001521961910364,0.051020303998530026,0.04926988560514264,0.04979372050407952,0.050634070877521524,0.049914290640943715,0.05200262639527249,0.05309331552425475
19,,,0.06785855223650121,0.05921820303383897,,0.0477305126806174,0.04718838112464755,0.04619069750813343,0.04608590355438422,0.04481878325902488,0.04603640422735538,0.043380059513139495,0.0468334315353438,0.04626200826490635,0.05298401420959147,0.05153166026614272
20,,,0.07404608991310918,0.06480932622011461,0.06163736742699404,0.053366325663847546,,0.05121626757886735,0.053119232891307246,0.05030169523991955,0.05247479376718607,0.05126687415271228,0.053249714937286204,0.05124131462588289,0.05029910173305892,0.05315486092305312
21,,,0.07251057635445572,0.065050400777265,0.06106363944843755,0.050939351910225694,0.05454138201366335,0.05426658235647,0.05223432402162092,0.055332317962344855,0.05535831900914071,0.04909996785599486,0.05311581753078887,0.05042941014734186,0.053026315789473685,0.05564769051411307
22,,,0.07655143690129113,0.07337352457592002,0.06326508793499759,0.05466423416414026,0.05064470397623709,0.05325483919100392,0.05309519306114729,0.05032075089472618,0.04964108376511226,0.05177446820012434,0.049719423974038265,0.048996321882761706,0.051315807331605165,0.05138259477354753
23,,,,,,,,,,,,,,,,0.05837304288631722
24,,,0.07948695232751578,0.0707897707750454,0.06276589370243874,0.05049007495263982,0.05111447512658558,0.051630635089455895,0.05082304311973529,0.05314180878122003,0.05419769521986937,0.05410343181016048,0.05320033250207814,0.05184805454452248,0.05401124169647419,0.05570072471164642
25,,,0.07063839056495154,0.06313131313131314,0.05765334901051059,0.05122293014388372,0.05296160922764664,0.05321626800581472,0.05302424291894539,0.05551940657839086,0.054547511860790286,0.05516847423808451,0.05887281637815193,0.05644444793886168,0.05884056836419149,0.060961395001864975
26,,,0.07236468598543025,0.06665978555208801,0.05931934534732547,0.052662081755660305,0.051644647886394966,0.052281601994205666,0.05142366953710119,0.05087568567840856,0.05107072042300066,0.05292867622387284,0.04981429595360657,0.04992591722310338,0.051976893369543274,0.05360194320956939
27,,,0.08078676664531444,0.0691605374222239,0.06234926735527264,0.05779134459160061,0.052552402964852155,0.0516036122528577,0.04955641186486244,0.05045789368903046,0.051633339932686595,0.05289209029540847,0.05226086532364275,0.050562726768674064,0.05276116778051354,0.05427570413575777
28,,,0.07960703825842308,,0.06428096558996814,0.05176696662917135,0.05074442571177546,0.05158197507190796,0.04977758437288463,0.05177449978092595,,0.0533979394562318,0.05094856248777626,0.050882785679254534,0.050339935694475126,0.052963336862580944
29,,,0.0855234989204799,0.07806419120003663,0.06549085601123125,0.056524382135597726,0.05650987162546658,0.058194903139941835,0.0581296639949461,0.061788066640836886,0.06020706836287168,0.06246169276202151,0.059229489266132626,0.05805924041431946,0.058028304149676184,0.061266455270491016
30,,,0.0973110465116279,0.08522908190341412,,,,,,,,,0.06065313199913301,0.057725569328336696,0.06015761509111008,0.06623220230927251
31,,,0.07174579676430158,,,,,,,0.0528272615417536,0.05001321003963012,0.05439056356487549,0.05416321458160729,0.05370336997657236,0.05305080813548836,0.05613337806797945
32,,,0.13744677848086378,0.11731382307745235,0.1055588956204042,0.08943440597029252,0.08595614833772178,0.09343123244468536,0.08866296830323321,0.09369799580348745,0.09534796120161974,0.09266781411359724,0.08962633332587938,0.08339585999911726,0.08898305084745763,0.09106678230702515
33,,,,0.05788775961113566,,,,,,,,,,,0.04861690171482435,0.05161592843745491
34,,,0.07940856707979996,0.07119300062689089,0.0644138742699798,0.05643972545948685,0.05715476456017187,0.06045934202358783,0.05923850415026352,0.05947631869447641,0.059314558762537314,0.05883767159032937,0.058069697604581326,0.05705824744671921,0.05813438403431875,0.0602313058732639
35,,,0.08640171730121345,0.07910619130332382,0.07076548921908829,0.056236876540580016,0.05119069941871367,0.05567309817791392,,0.05281712507146033,0.0502092050209205,,0.04892966360856269,,0.05565442485034784,0.057011583511292305
36,,,0.08375970999482134,0.07649490601678383,0.07378824524400118,0.06720572778454206,0.06948290763556707,0.07021436902021902,0.06792544866974248,0.06896342985993932,0.06808221683776382,0.06571498401392609,0.06554724650263412,0.06270420508473741,0.06392054545007016,0.06433372243042329
37,,,0.08960833779272737,0.08064981134913572,0.07314059485834605,0.06019490058234091,0.060640381617343336,0.0603118207938847,0.057431594748728394,0.058858195211786375,0.0601939024878811,0.06287399470882017,0.0647862010111328,0.06720897222911773,0.06847072841867612,0.07035995954255787
38,,,,,,,,,,,,,,,,0.05452575144014145
39,,,0.06427815927797136,0.058808164686804484,0.0547880340928082,0.04582569571738044,0.04639529353742096,0.0466338745999763,0.045774209793524305,0.04574906031859674,0.04543030564493418,0.04451348239132521,0.04456495685522531,0.04524922400570069,0.04572387553315239,0.048999544557461666
40,,,0.08245810398491284,0.07645636604169517,0.07191941869813868,0.06289394354617703,0.05634583410308516,0.05911749234149209,0.05873685826106976,0.05955251671194408,0.05795737446110875,0.05760655240406492,0.05671241640897528,0.05576367333832816,0.05593411966020901,0.0648756613353256
41,,,0.0937272738478226,0.08426476992306575,0.07527156705148814,0.06118974411099535,0.058975384972829246,0.05999065687368612,0.05757482019952053,0.05941339321026243,0.05971746575342466,0.06315893434730006,0.06574703757836375,0.06486286580055593,0.06785425291130631,0.06836998026553943
42,,,0.06576130092105506,0.05943902224566957,0.0563896077204062,0.047184963731208215,0.0456465026448163,0.046975044357016126,0.046739918299947676,0.047473672552522474,0.046575025210246215,0.04763767549006824,0.047166461963614036,0.047306606545846945,0.04843730424139626,0.05137208375162714
44,,,,,,,,,,,,0.051426142803173404,,,,0.058358381502890175
45,,,0.08734098460479461,0.08045601328295572,0.06995966408781326,0.05747710390091859,0.055184603299293006,0.05451280516482107,0.05460085140310662,0.05757029509034392,0.05796466431095406,0.06439821984123663,0.0605301349982201,0.0610156661845609,0.06664184661206254,0.06738175986539423
46,,,,,,,,,,,,,,,,0.05584140435835351
47,,,0.0809136786188579,0.07647653764301818,0.06936673921121078,0.05600349612149022,0.058426590947051944,0.05805085223112193,0.056680573928971204,0.05700892352874732,0.05613000192109932,0.05814071427766446,0.05911808002854976,0.059996459080246096,0.06027737482966284,0.06563190963024584
48,,,0.09178130957029007,0.08776161779552454,0.0842007988360139,0.07057074424417506,0.07108022399123463,0.07481976807865891,0.07472011994465788,0.07432331713504386,0.07566940468683063,0.07723943072415236,0.07638862053774992,0.07804957491583563,0.07971063535392274,0.0832854681217691
49,,,0.13165644171779142,0.12457278235202734,0.10415253744647043,0.08591600582618547,0.0828494634686801,0.08115585613280049,0.081494433055991,0.07797497245395876,0.07948914922220088,0.08046624246860747,0.08289594420994678,0.08513309894525364,0.09124157508838537,0.09021201353350222
50,,,,,,,,,,,,,,,,0.04264528037680606
51,,,0.09215187311134566,0.07846804241903124,0.07171009336197108,0.058212675053406125,0.056562666686700375,0.0588898132042653,0.05724673682308839,0.05867739441746662,0.05756945587289239,0.060291060291060294,0.0581123417023342,0.0576387416564924,0.05917108033483167,0.0603639206149303
53,,,0.10184054732671442,0.09286342684843335,0.08419999849602575,0.0681951517142656,0.06425836524055269,0.06867045892788276,0.06533364333875843,0.0665783293131903,0.06796268347422173,0.07201431225909488,0.07250705160112826,0.07376037359826289,0.07877052533161924,0.0799677894416111
54,,,,,,,,,,,,,,,,0.04434691745036572
55,,,0.06756316686780453,0.06190348165075951,0.05407859409323895,0.04560743172899816,0.04510085136248512,0.04468306557157432,0.043247877373107195,0.04420757071547421,0.04526227173992122,0.04575967893751487,0.045040159615286235,0.04460298721962737,0.04504393655090385,0.04721453767598754
56,,,,,,,,,,,,0.07374612611473025,,,,0.09220125786163522
